sample_index,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,predicted_label
6971,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
3685,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
3759,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
2626,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
7753,-30,-30,-25,-30,-30,-30,-30,-30,-30,-30,2
6390,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
9398,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
4650,-30,-30,-30,-30,-9,-30,30,-30,-30,-30,6
5361,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
1276,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
1730,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
4377,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
3137,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
1820,-30,-30,-30,-30,-30,-30,-30,-21,-30,-30,7
7672,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
8121,-30,-30,-30,-30,30,-30,1,-30,-30,-30,4
2421,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
2029,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
2677,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
6986,30,-30,-30,-30,-30,-30,-15,-30,-30,-30,0
6270,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
5154,-30,-30,30,-30,-30,-30,-15,-30,-30,-30,2
9155,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
5732,-30,-30,-30,-30,-30,-30,20,-30,-30,-30,6
554,-30,-30,-30,-30,-30,-11,-30,1,-30,-30,7
8262,-30,-30,-30,-30,-30,-30,-27,-30,30,-30,8
8568,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
5408,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
7153,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
4461,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
7441,-30,-30,-30,4,-30,-30,-30,-30,-30,-30,3
5843,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
1589,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
4712,-30,-30,-30,-30,9,-30,21,-30,-30,-30,6
806,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
1480,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
9546,-30,-30,-30,-30,6,-30,-30,-30,-30,-30,4
5279,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
2250,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
9727,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
2114,-30,-30,-30,-30,-30,-30,-20,-30,30,-30,8
3074,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
9263,-30,-30,30,-30,-30,-30,6,-30,-30,-30,2
1768,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
5765,-30,-30,-23,-30,-30,-30,11,-30,-30,-30,6
4714,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
2811,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
8237,-30,-30,-11,-30,-30,-30,4,-30,-30,-30,6
2418,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
4486,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
2134,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
8017,-30,-30,-30,-30,-30,-30,-12,-30,-30,-30,6
305,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
6009,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
8072,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
2422,-30,-30,20,-30,-30,-30,-3,-30,-30,-30,2
3263,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
8999,-30,-30,-16,-30,-30,-30,0,-30,-30,-30,6
5289,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
757,-30,-30,-30,-6,-30,-30,-7,-30,-30,-30,3
5782,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
1293,-29,-30,-30,-30,-30,-30,-17,-30,-30,-30,6
706,-30,-30,-30,-30,16,-30,-30,-30,-30,-30,4
8335,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
1015,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
6307,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
6415,-30,-30,-30,-30,-30,-30,-30,-8,-30,-30,7
4849,-30,-30,30,-30,-30,-30,-27,-30,-30,-30,2
7940,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
9589,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
3630,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
7461,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
4302,-30,-30,-25,-30,-30,-30,-30,-30,-30,-30,2
5787,-30,-30,-30,-30,-30,-30,-30,-18,-30,-30,7
7762,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
5706,-30,-30,30,-30,-30,-30,-23,-30,-30,-30,2
600,-26,-30,-30,-30,-30,-30,-18,-30,-30,-30,6
9914,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
1857,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
2131,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
7215,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
7513,-30,-15,-30,-30,-30,-30,-30,-30,-30,-30,1
8874,-30,-30,-30,27,-30,-30,-30,-30,-30,-30,3
2209,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
4195,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
8680,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
5948,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
6578,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
8368,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
656,-30,-30,-30,-30,-30,-30,-28,-30,-30,-30,6
8557,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
9771,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
7757,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
207,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
8291,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
1654,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
4854,-30,30,-30,-11,-30,-30,-30,-30,-30,-30,1
8714,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
349,-30,23,-30,-30,-30,-30,-30,-30,-30,-30,1
6252,-30,-30,22,-30,-30,-30,-3,-30,-30,-30,2
678,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
8572,-30,-30,30,-30,-30,-30,-28,-30,-30,-30,2
8730,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
3733,-30,-30,-30,0,-30,-30,-30,-30,-30,-30,3
7332,-11,-30,-30,-30,-30,-30,-12,-30,-30,-30,0
1384,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
3342,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
1781,30,-30,-30,-30,-30,-30,-26,-30,-30,-30,0
7597,-30,-30,13,-30,-30,-30,-30,-30,-30,-30,2
3217,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
3305,-30,-30,30,-30,-30,-30,-3,-30,-30,-30,2
3543,-30,-30,-30,-30,30,-30,1,-30,-30,-30,4
5453,24,-30,-30,-30,-30,-30,-17,-30,-30,-30,0
5153,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
2130,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
5569,-30,-30,-30,-30,-30,-30,-30,-30,4,-30,8
9175,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
2555,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
6645,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
56,-30,-30,-30,-30,3,-30,-30,-30,-30,-30,4
5007,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
4042,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
1749,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
5968,-30,-30,-30,-30,-30,-30,-30,-30,14,-30,8
3022,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
5613,-30,-30,14,-30,-23,-30,-30,-30,-30,-30,2
9859,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
5259,-30,-30,-30,-30,-30,-30,-30,-30,-30,-18,9
9653,-30,-30,-30,-30,-30,-30,28,-30,-30,-30,6
8387,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
3250,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
6508,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
6564,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
1905,-30,-30,-3,-30,-30,-30,5,-30,-30,-30,6
3609,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
5542,30,-30,-30,-30,-30,-30,-16,-30,-30,-30,0
2007,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
3775,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
3912,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
2178,-30,-30,23,-30,-30,-30,-4,-30,-30,-30,2
7128,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
6299,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
6724,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
1769,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
5038,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
7421,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
2057,-30,-30,-30,-30,-30,5,-30,-30,-30,-30,5
7204,-30,-30,-30,-30,-28,-30,-30,-30,-30,-30,4
6014,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
1228,-30,-30,12,-30,-30,-30,-30,-30,-30,-30,2
3909,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
7660,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
104,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
2354,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
8027,-30,-30,-4,-30,-30,-30,-1,-30,-30,-30,6
736,-30,-30,-30,-30,-20,-30,-30,-30,-30,-30,4
4626,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
3224,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
7711,-30,-30,-30,-30,-20,-30,-30,-30,-30,-30,4
1400,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
6902,-30,-30,-30,-30,-30,-4,-30,-30,-30,-30,5
8667,-30,-30,-17,-30,-12,-30,27,-30,-30,-30,6
4404,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
432,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
7259,-30,-30,30,-30,-30,-30,-12,-30,-30,-30,2
5065,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
9668,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
9482,-30,-30,-30,-30,-30,-30,-21,-30,-30,-30,6
2916,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
9769,30,-30,-30,-30,-30,-30,-10,-30,-30,-30,0
523,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
888,-30,-30,-30,-30,-25,-30,-7,-30,-30,-30,6
5265,-30,-30,-30,-2,-30,-30,-30,-30,-30,-30,3
2360,-30,-30,-30,-30,-30,-30,-15,-30,30,-30,8
5604,-30,-30,-30,-30,-30,-30,-30,-18,-30,-9,9
1846,-30,-30,-30,-30,-30,-30,1,-30,-30,-30,6
8003,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
4177,-30,-30,-30,-30,-30,-30,-25,-30,-30,-30,6
4776,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
7698,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
482,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
8359,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
1527,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
7996,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
8630,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
5625,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
6232,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
7967,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
764,-30,-30,-28,-30,-30,-30,10,-30,-30,-30,6
5254,-30,-30,-30,-10,-30,-30,-30,-30,-30,-30,3
2000,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
822,-30,-30,-30,-30,30,-30,23,-30,-30,-30,4
339,-30,-30,-25,-30,-30,-30,-7,-30,-30,-30,6
4151,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
6366,-30,-30,-30,-30,-30,-30,-30,-30,-30,-29,9
8112,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
4975,-30,-30,-30,-30,-30,1,-30,-30,-30,-30,5
8147,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
5493,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
9983,-30,-30,-30,-14,-30,-30,-30,-30,-30,-30,3
42,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
348,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
4346,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
7220,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
8500,-30,-30,-30,-30,-30,-30,-30,-30,30,-30,8
578,-30,-30,-30,27,-30,-30,-30,-30,30,-30,8
5631,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
8998,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
5014,-30,-30,3,-30,-30,-30,21,-30,-30,-30,6
2267,-30,-30,-30,-30,-30,-30,-25,-30,30,-30,8
9728,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
4687,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
6229,-30,-30,30,-30,-5,-30,-30,-30,-30,-30,2
3029,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
8098,-30,-30,-30,-30,-30,-18,-30,29,-30,-30,7
5460,-30,-30,-30,-30,-30,-30,-30,-10,-30,-30,7
9542,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
792,-30,-25,-30,-21,-30,-30,-30,-30,-30,-30,3
2452,-30,-30,-16,-30,-30,-30,-30,-30,-30,-30,2
2649,-30,-30,1,-30,-30,-30,30,-30,-30,-30,6
3475,-30,-30,30,-30,-30,-30,-14,-30,-30,-30,2
9279,-30,-30,0,-30,30,-30,-30,-30,-30,-30,4
6095,-30,-30,-30,-30,-30,-30,-30,-22,-30,-30,7
6263,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
5168,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
4103,-30,-30,-30,-30,1,-30,-21,-30,-30,-30,4
4010,-30,-30,-30,-30,-30,-30,-26,-30,1,-30,8
8673,-30,-30,30,-30,-30,-30,-24,-30,-30,-30,2
8942,2,-30,-30,-30,-30,-30,-25,-30,-30,-30,0
3662,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
8626,-30,-30,-30,-30,-21,-30,30,-30,-30,-30,6
5319,-30,-30,8,-30,-30,-30,27,-30,-30,-30,6
9834,-30,-30,-30,-30,-30,-22,-30,30,-30,-30,7
1729,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
7002,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
5651,-30,-30,-30,30,-30,-30,-30,-30,-26,-30,3
7257,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
9865,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
2286,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
9599,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
4262,-30,30,-30,8,-30,-30,-30,-30,-30,-30,1
1931,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
9092,-30,-30,-30,-30,-30,-30,-30,21,-30,-30,7
614,-30,-30,-30,-30,-30,-30,-12,-30,6,-30,8
1851,-30,-30,30,-30,-30,-30,-7,-30,-30,-30,2
3436,-30,30,-30,-1,-30,-30,-30,-30,-30,-30,1
9126,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
1737,17,-30,-30,-30,-30,-30,-14,-30,-30,-30,0
8145,-30,-10,-30,-11,-30,-30,-30,-30,-30,-30,1
4498,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
9001,19,-30,-30,-30,-30,-30,-12,-30,-30,-30,0
122,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
1131,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
9326,-30,-30,-30,-30,15,-30,-30,-30,-30,-30,4
1081,-30,-30,-30,-30,-30,-29,-30,-30,-30,-1,9
3598,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
3465,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
9663,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
8908,-30,-30,-30,-30,-30,-30,-11,-30,30,-30,8
1456,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
7392,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
3842,-4,-30,-30,-30,-30,-30,-24,-30,-30,-30,0
2538,-30,-30,30,-30,-30,-30,30,-30,-30,-30,2
5177,-30,-30,-30,-30,-20,-30,-30,-30,-30,-30,4
6924,-30,-30,-30,-30,-25,-30,-30,-30,22,-30,8
4082,-30,-30,-27,-30,-30,-30,-4,-30,-30,-30,6
9559,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
9511,-30,-30,3,-30,-27,-30,-24,-30,-30,-30,2
2176,-30,-30,30,-30,-30,-30,-30,-30,-30,-30,2
8056,-30,-30,-30,-30,-4,-30,-17,-30,-30,-30,4
1623,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
9220,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
1892,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
5819,-30,-30,-30,-30,-28,-30,-13,-30,-30,-30,6
6178,-30,-30,30,-30,-30,-30,-12,-30,-30,-30,2
5240,-30,-30,-30,-30,-30,15,-30,-4,-30,-30,5
156,-17,-30,-30,-24,-30,-30,-30,-30,-30,-30,0
4318,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
3413,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
1220,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
5229,20,-30,-30,-30,-30,-30,-5,-30,-30,-30,0
8061,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
6987,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
4490,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
6408,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
1792,-30,-30,18,-30,-30,-30,11,-30,-30,-30,2
3782,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
870,-30,-30,-30,-30,-30,-30,-14,-30,-30,-30,6
6432,-30,-30,-30,-30,-30,-30,-9,-30,-30,-30,6
2593,-30,-30,-30,30,-30,-30,-30,-30,-30,-30,3
8053,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
7039,-30,-30,-30,-30,-30,-30,-28,-30,30,-30,8
452,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
100,-30,-30,-22,-30,-30,-30,5,-30,-30,-30,6
7121,-30,-30,-30,-30,-30,-30,21,-30,-30,-30,6
6499,-30,-30,7,-30,-30,-30,-2,-30,-30,-30,2
4992,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
9551,-30,-30,-30,-30,30,-30,-30,-30,-30,-30,4
5995,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
13,-30,-30,-30,-30,-30,30,-30,-30,-30,-30,5
3160,-30,-30,30,-30,-30,-30,30,-30,-30,-30,2
8264,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
7512,-30,-30,-30,-30,-28,-30,14,-30,-30,-30,6
7270,-30,-30,-30,-30,-30,-30,30,-30,-30,-30,6
5368,-30,30,-30,-30,-30,-30,-30,-30,-30,-30,1
1308,-30,-30,30,-30,-30,-30,-6,-30,-30,-30,2
3687,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
3467,-30,-30,-30,-30,-30,-30,-30,-30,-30,30,9
5910,-30,-30,-30,-30,-30,-30,-30,30,-30,-30,7
2576,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
1145,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
1451,-30,-30,-30,-30,30,-30,-23,-30,-30,-30,4
2429,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0
